822 868
68 535 885
755 451 956
53 91 -913
730 130 68
430 224 24
570 395 651
594 148 -291
663 431 147
365 289 692
21 445 25
471 19 295
274 294 740
702 160 -343
678 53 -127
418 458 -699
695 686 -993
227 466 675
90 45 596
4 300 546
106 816 -279
463 717 196
121 743 -469
66 253 479
710 797 335
466 401 -7
559 371 731
448 392 51
286 319 -705
629 45 -730
78 789 560
256 64 -141
85 314 -553
29 1 -913
507 17 -978
463 399 439
463 4 43
418 445 -435
564 524 -555
658 487 -401
585 809 -644
140 478 -457
722 532 596
539 783 529
193 88 45
453 331 -797
174 548 705
494 380 -332
816 204 -638
314 358 -610
737 365 157
278 120 -610
124 598 100
199 593 -805
325 812 -348
128 526 560
664 197 -331
558 273 -742
635 275 59
574 318 -908
818 385 -663
430 457 -589
496 535 440
478 529 191
282 357 763
377 248 118
184 297 -448
333 640 193
8 651 524
744 316 -346
806 583 -40
272 669 801
29 120 -301
738 796 80
773 468 634
58 676 270
696 49 205
41 491 -473
767 354 349
91 443 196
419 399 350
742 278 890
370 797 884
515 417 -396
167 806 -984
210 714 601
560 510 790
466 341 12
193 258 888
565 306 -192
381 743 389
111 492 -367
641 415 -93
146 112 942
30 576 -405
774 146 408
372 813 223
257 68 911
3 526 760
714 636 628
257 301 -286
268 14 18
664 652 474
278 820 738
493 199 819
317 478 -743
50 326 -935
756 339 -726
16 583 -972
617 364 104
164 462 -938
479 696 -790
750 176 60
506 418 -326
467 318 -818
671 353 557
724 802 996
280 99 51
253 475 -715
759 69 -139
261 282 674
699 165 120
311 446 312
500 313 445
448 254 109
397 163 -236
600 118 -212
597 361 -547
511 772 -937
604 78 948
812 449 -644
497 585 -562
525 590 573
73 388 179
5 379 -391
565 391 886
62 782 123
423 610 208
417 411 -644
100 28 -282
179 363 337
627 273 992
572 602 -856
802 742 -827
22 548 -908
77 286 304
566 103 717
78 698 -307
392 614 683
634 175 64
151 110 637
585 232 -660
123 477 646
759 501 -391
500 614 -988
1 105 768
615 456 -750
218 422 829
479 110 522
797 132 -595
377 158 -798
471 169 -750
476 74 764
358 51 736
506 283 -605
569 391 974
519 91 -223
766 617 417
427 54 348
711 535 -768
257 629 -643
626 160 -734
703 7 77
732 635 10
721 512 425
429 751 -169
155 184 -413
693 739 69
544 37 -776
816 319 -540
140 796 -383
154 369 370
364 305 832
438 388 -383
549 773 -210
656 396 325
320 640 469
160 549 -673
734 745 -464
748 96 500
578 387 88
136 83 693
414 331 -613
588 442 724
269 491 -386
13 525 -712
291 713 -103
410 102 582
454 157 -852
425 779 -968
251 401 145
139 733 168
537 207 777
1 800 482
552 72 -729
240 473 -820
611 584 -471
406 331 -216
490 616 850
132 773 140
420 320 793
781 621 -617
547 768 -208
399 567 709
181 820 -625
802 227 -946
612 633 -725
270 674 170
778 686 -709
727 283 -490
16 324 -703
134 607 402
306 182 -164
194 571 518
549 262 466
631 760 -783
219 419 -326
235 621 -245
187 459 864
96 619 822
396 599 897
431 379 740
725 77 665
714 493 -739
114 45 -514
587 237 199
69 433 -993
594 230 -196
551 664 411
253 714 402
336 479 107
131 743 156
269 290 860
179 439 -765
639 162 186
796 348 505
637 285 464
197 242 284
183 275 -146
163 720 -734
652 377 282
378 265 186
726 450 595
819 220 671
240 492 -916
259 68 912
321 449 300
581 319 245
475 651 520
356 132 -104
108 705 466
392 14 -672
148 445 -974
120 704 -849
212 569 987
177 151 -953
820 399 -702
135 715 -637
627 462 -989
522 610 611
766 804 -210
106 506 -551
505 338 57
612 722 -725
545 502 -632
799 761 2
760 581 878
776 339 -307
327 584 -618
456 361 -799
313 733 -957
165 148 -938
352 578 -525
298 735 -205
362 665 -921
205 571 -893
131 48 374
610 693 -439
758 463 -208
232 236 194
716 203 584
693 678 634
44 227 -657
621 437 -897
63 666 380
152 510 -35
681 363 121
780 650 368
419 270 593
566 622 819
712 634 -504
142 805 -75
169 146 818
787 271 707
300 592 983
48 460 -590
671 104 -736
98 632 -77
455 212 -574
328 363 -456
580 690 -820
245 315 572
646 267 46
181 567 -966
586 53 -605
663 176 -456
233 306 617
635 416 -312
337 342 131
596 727 284
611 351 -344
365 228 -727
167 603 -413
547 270 746
610 504 200
145 378 117
348 174 816
366 464 -441
663 527 553
370 667 607
600 610 -886
508 251 -598
438 614 -904
287 818 -889
589 104 235
230 733 -316
170 456 813
451 121 -896
278 390 -438
95 540 786
681 210 200
764 80 740
446 62 -739
321 589 -312
181 420 185
584 134 -761
12 434 -531
524 204 -520
