825 2473
778 471 242
273 445 332
127 538 587
576 120 19
339 515 878
769 491 317
599 699 581
275 1 216
181 716 198
272 231 125
117 48 332
566 710 346
614 524 131
87 513 596
227 23 182
810 717 240
283 634 851
329 87 446
255 203 758
194 356 528
3 695 962
803 656 324
77 672 990
673 52 205
620 366 325
677 333 67
262 286 388
798 678 525
164 624 367
69 790 826
776 479 433
457 169 692
457 678 273
373 477 838
634 560 48
42 274 66
427 388 90
468 767 362
532 74 750
89 399 755
324 519 393
110 454 842
426 8 979
465 444 640
364 432 506
583 764 328
553 282 983
462 816 156
820 193 166
267 711 545
136 680 570
412 711 488
325 697 93
769 286 426
96 750 390
425 666 402
136 135 969
650 50 788
452 201 441
527 556 884
511 756 224
54 807 423
539 681 892
536 686 492
154 687 458
235 100 960
495 501 551
1 240 161
602 659 648
480 10 715
500 104 662
419 514 998
123 794 441
485 135 936
432 621 129
552 272 357
501 770 393
525 430 916
588 298 846
103 707 878
824 330 99
446 619 876
494 144 228
439 500 591
591 547 683
578 246 305
157 556 383
198 354 898
760 42 613
33 345 480
471 692 583
786 3 458
720 771 734
314 411 341
484 662 637
521 174 702
302 475 737
415 758 690
264 107 157
337 558 656
258 4 671
173 108 554
790 250 431
298 791 503
703 444 539
818 745 668
456 769 927
557 518 851
14 578 568
130 691 776
285 372 593
743 576 647
220 532 568
117 509 64
124 135 95
465 293 71
455 33 832
403 69 493
173 420 635
27 792 936
664 654 441
433 418 275
562 708 583
126 758 310
422 771 244
476 405 853
248 75 131
471 80 790
682 739 521
823 605 717
440 256 888
111 314 544
538 66 15
202 324 527
241 424 950
588 192 263
723 605 136
35 287 780
107 631 930
456 497 358
332 352 751
204 479 937
635 372 742
290 717 786
436 232 981
255 787 272
807 568 967
664 73 313
516 507 605
120 702 357
692 86 645
523 70 213
622 92 836
743 503 814
693 272 1000
144 617 581
277 70 808
715 243 781
709 786 735
305 274 168
80 420 556
613 186 745
149 568 66
429 101 772
556 504 862
360 124 434
89 517 981
153 621 695
153 47 980
639 507 754
727 720 682
60 524 178
188 717 155
224 74 382
173 389 275
141 393 547
387 438 766
539 112 531
501 297 714
270 293 138
269 772 480
261 384 882
156 344 470
306 63 10
612 763 207
322 75 839
818 669 68
406 446 74
707 667 275
129 377 298
408 324 458
482 738 828
111 268 678
300 238 384
374 254 295
661 297 155
93 756 424
26 445 205
348 65 805
527 395 322
523 684 726
466 240 536
192 247 242
778 379 463
181 46 62
797 617 190
272 736 357
675 738 699
419 382 793
784 213 137
130 413 888
708 605 654
245 28 707
335 600 699
798 550 498
695 277 129
610 444 817
344 463 218
326 97 376
153 101 892
401 515 135
569 157 746
700 33 146
696 28 78
234 550 536
205 647 364
325 4 92
305 290 769
117 226 528
753 418 341
7 191 216
255 687 233
286 173 203
118 565 221
571 613 58
273 511 523
344 111 586
774 192 427
728 614 773
194 705 288
713 154 180
137 272 296
471 650 125
32 816 209
241 701 732
33 793 143
125 593 364
371 111 594
577 517 379
472 593 541
326 244 541
819 292 963
327 578 58
497 580 799
474 56 85
580 153 407
699 73 978
548 530 481
229 731 16
93 707 546
158 423 808
297 807 89
807 726 341
284 748 134
330 287 153
448 203 568
263 199 686
10 349 115
556 172 128
523 590 625
811 353 546
351 685 244
776 130 686
537 345 244
536 215 568
229 305 248
781 736 842
239 800 638
318 400 304
798 384 10
820 29 120
212 131 936
763 428 119
766 35 251
784 115 584
688 333 10
339 778 774
70 668 710
560 93 245
539 783 254
368 318 979
72 613 669
748 48 267
245 75 924
325 405 335
714 532 868
626 699 700
398 385 735
270 351 158
199 202 241
181 88 64
169 90 75
382 14 86
669 93 202
645 661 531
459 694 108
422 555 715
428 461 867
220 390 815
773 761 640
458 758 957
511 699 298
58 209 532
482 599 582
717 274 858
809 388 607
726 656 723
814 694 626
120 638 914
98 687 806
187 266 558
553 149 294
707 451 633
587 669 425
748 177 436
147 232 251
204 708 273
320 609 15
513 572 766
646 328 746
361 159 719
90 578 561
420 735 419
444 589 224
128 574 282
22 455 160
789 265 245
152 140 502
69 291 71
458 600 655
296 775 175
452 453 581
331 259 725
503 597 525
37 284 893
752 198 339
222 104 604
178 237 11
809 363 977
561 719 935
667 565 953
712 411 404
472 755 849
470 315 366
78 482 55
353 78 82
427 759 845
658 571 842
169 812 859
193 664 198
131 546 587
257 152 990
677 30 107
404 741 1000
165 432 180
574 543 208
127 673 832
649 115 873
499 49 448
682 102 996
585 8 772
15 156 941
456 422 303
148 321 501
591 760 600
421 745 936
136 185 968
759 316 149
669 129 476
744 693 460
451 138 268
185 550 457
324 28 540
348 823 155
590 626 498
199 567 162
364 260 469
377 311 991
504 358 301
808 347 848
670 147 338
7 692 671
30 69 696
631 296 476
787 471 570
782 242 91
297 748 409
232 122 223
309 444 951
204 269 948
411 186 704
551 661 272
332 116 546
263 2 902
45 557 23
641 179 490
187 257 819
645 357 435
478 125 411
713 482 806
236 472 839
752 407 187
121 158 480
588 112 632
638 481 275
690 339 852
448 316 748
349 420 16
143 446 953
526 811 774
202 725 400
299 747 187
73 803 722
7 551 626
381 779 836
20 204 441
608 730 818
317 184 76
684 596 280
499 56 249
105 429 229
367 591 331
394 306 764
584 197 3
166 805 150
760 748 272
335 97 305
121 778 449
225 259 550
331 76 159
506 821 907
517 286 847
546 157 716
665 745 385
269 138 189
608 383 97
654 425 207
546 386 705
141 53 381
278 475 59
336 129 127
467 676 445
318 486 152
790 229 806
578 556 654
30 714 634
225 700 518
711 577 444
505 670 131
55 215 335
82 272 383
711 617 211
525 277 103
358 103 373
562 383 483
336 256 746
34 546 639
533 365 25
581 653 166
552 798 421
820 208 228
269 339 837
548 149 845
816 663 844
522 550 145
145 725 311
329 451 624
688 441 685
452 519 576
527 519 750
179 83 109
161 362 714
301 734 687
559 64 962
721 554 461
415 412 751
812 586 772
732 470 934
688 467 771
816 290 531
166 764 372
736 125 836
762 811 644
418 610 29
453 408 291
620 451 588
733 525 360
314 119 319
400 187 396
143 259 310
202 741 317
467 173 575
450 591 2
759 149 71
325 104 288
776 158 217
279 775 837
518 384 136
491 5 45
482 541 649
470 100 209
106 120 812
804 372 80
670 179 651
193 819 125
285 243 907
790 58 424
253 167 779
714 380 627
685 775 257
86 332 133
66 697 889
265 435 369
651 93 614
222 105 681
221 132 896
592 665 26
793 13 569
771 736 263
132 79 260
729 615 951
631 49 279
215 198 514
656 792 750
344 623 682
675 658 373
489 608 508
401 507 323
599 819 92
433 424 432
245 605 736
660 237 310
622 554 614
511 169 810
197 301 785
638 786 521
86 806 134
364 203 696
476 626 165
85 525 166
474 605 890
521 277 913
640 820 153
684 134 122
541 643 528
191 195 508
205 259 140
41 531 739
358 564 81
237 632 789
103 150 414
759 213 277
463 749 192
666 273 967
464 482 564
491 184 379
575 720 749
604 774 798
813 301 745
711 247 770
99 706 2
655 242 168
49 85 664
396 619 154
627 782 781
656 66 96
442 412 889
316 666 936
346 715 789
714 787 692
352 490 863
285 549 677
623 328 419
270 12 567
481 540 320
209 451 37
673 465 595
658 390 81
205 156 26
283 59 830
418 681 461
609 371 327
161 15 548
591 113 872
617 823 483
345 725 98
548 107 628
275 62 593
745 430 634
624 533 565
670 364 13
112 721 623
376 436 351
123 78 110
699 323 758
637 189 917
599 357 508
42 312 287
350 489 58
673 232 812
618 612 475
686 235 807
709 757 359
496 582 854
550 694 530
662 257 38
529 263 606
665 542 685
511 325 551
156 32 417
574 411 702
488 405 572
483 666 758
765 380 417
259 402 127
31 663 881
336 522 972
104 639 269
152 489 279
20 305 688
585 246 671
184 732 530
238 643 709
313 499 188
413 398 129
301 169 700
645 364 842
189 368 768
717 138 92
620 463 836
723 429 230
607 102 9
660 477 401
184 131 748
560 605 24
575 93 301
593 665 778
752 148 245
39 630 551
443 664 967
63 318 150
515 635 395
624 645 618
148 712 782
794 505 527
480 331 36
280 220 810
262 38 539
498 570 883
389 687 425
267 230 50
385 439 602
227 301 234
270 731 935
811 661 774
589 233 110
96 372 306
401 178 519
265 250 27
355 526 273
612 782 772
61 699 999
311 97 265
249 455 819
205 11 436
58 139 634
350 823 480
471 286 115
60 767 279
66 596 965
247 9 848
644 730 437
268 747 805
790 750 997
319 88 81
5 195 977
571 237 58
535 684 839
259 289 753
815 452 268
700 240 452
162 708 273
575 313 270
207 401 469
98 278 921
119 142 903
240 342 944
345 266 438
420 61 804
121 211 418
678 473 518
751 129 138
426 185 267
267 810 344
52 114 328
325 132 454
210 739 773
379 74 914
14 795 703
688 170 570
188 506 285
228 71 557
263 597 931
2 60 490
393 475 676
762 450 227
571 583 940
212 631 934
350 286 969
598 126 852
67 246 202
388 751 921
207 387 180
478 659 319
745 180 523
620 165 746
322 632 563
307 192 266
93 669 183
150 686 196
823 576 473
349 10 373
472 217 199
21 606 245
275 139 114
350 412 863
70 176 390
249 77 587
796 416 566
113 110 297
769 369 478
109 331 909
127 129 87
271 384 12
730 702 33
730 36 136
205 769 563
258 539 178
29 3 246
567 727 946
822 346 817
291 62 205
428 702 123
575 15 70
762 566 107
327 119 562
94 511 59
395 297 801
682 429 784
492 223 383
584 411 264
663 350 12
304 171 254
50 590 158
640 413 181
557 329 657
341 12 561
765 597 203
408 739 43
575 367 924
125 644 126
298 15 218
36 458 932
22 263 925
132 784 530
386 493 138
409 310 290
104 404 295
303 49 915
443 710 68
330 761 111
614 626 538
465 242 515
343 606 652
130 37 31
139 1 525
349 591 398
740 629 520
636 405 131
149 388 981
357 572 342
510 329 297
775 765 144
107 540 802
419 595 348
543 132 530
442 73 798
575 503 45
754 348 560
312 706 606
816 8 523
328 663 775
6 400 881
562 205 768
220 542 232
233 690 688
206 801 101
492 769 994
549 90 591
370 264 682
102 582 703
757 537 680
769 109 791
135 345 739
72 538 638
347 729 805
337 187 235
378 430 29
416 198 835
757 415 331
107 222 565
689 52 996
133 107 559
399 675 776
595 629 52
764 77 292
18 494 739
664 758 143
372 37 918
73 140 265
439 510 238
123 42 977
787 347 403
768 224 895
584 232 728
280 748 159
818 715 511
372 655 468
606 261 725
758 502 746
276 815 149
636 668 431
145 569 317
178 103 704
174 260 558
797 417 39
15 297 283
757 465 395
544 573 823
203 517 970
812 821 509
739 168 957
72 592 355
693 791 771
534 44 74
230 429 688
825 82 36
605 190 316
318 557 566
167 5 25
815 223 732
341 503 403
182 152 168
457 511 970
549 730 245
706 173 343
632 538 904
670 260 125
